split,id,category,topic,source_type,origin_file,variant_of,variant_type,system,instruction,output,knowledge_text,messages,text
<|im_start|>assistant
Tom Holland plays Peter Parker/Spider-Man in the MCU Spider-Man films and in Brand New Day.<|im_end|>"
train,1,actors,Andrew Garfield,researched_summary,Spider.csv,1,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who played Spider-Man in The Amazing Spider-Man films?,Andrew Garfield played Peter Parker/Spider-Man in The Amazing Spider-Man films.,Andrew Garfield played Peter Parker/Spider-Man in The Amazing Spider-Man films.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who played Spider-Man in The Amazing Spider-Man films?""}, {""role"": ""assistant"", ""content"": ""Andrew Garfield played Peter Parker/Spider-Man in The Amazing Spider-Man films.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who played Spider-Man in The Amazing Spider-Man films?<|im_end|>
<|im_start|>assistant
Andrew Garfield played Peter Parker/Spider-Man in The Amazing Spider-Man films.<|im_end|>"
train,6,actors,Zendaya,researched_summary,Spider.csv,6,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who plays MJ in the MCU Spider-Man films?,Zendaya plays MJ in the MCU Spider-Man films.,Zendaya plays MJ in the MCU Spider-Man films.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who plays MJ in the MCU Spider-Man films?""}, {""role"": ""assistant"", ""content"": ""Zendaya plays MJ in the MCU Spider-Man films.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who plays MJ in the MCU Spider-Man films?<|im_end|>
<|im_start|>assistant
Zendaya plays MJ in the MCU Spider-Man films.<|im_end|>"
train,26,allies,Ms. Marvel,researched_summary,Spider.csv,26,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Has Spider-Man teamed up with Ms. Marvel?,"Kamala Khan has teamed up with Spider-Man in Marvel stories, including conflicts involving major supernatural and superhuman threats.","Kamala Khan has teamed up with Spider-Man in Marvel stories, including conflicts involving major supernatural and superhuman threats.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Has Spider-Man teamed up with Ms. Marvel?""}, {""role"": ""assistant"", ""content"": ""Kamala Khan has teamed up with Spider-Man in Marvel stories, including conflicts involving major supernatural and superhuman threats.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Has Spider-Man teamed up with Ms. Marvel?<|im_end|>
<|im_start|>assistant
Kamala Khan has teamed up with Spider-Man in Marvel stories, including conflicts involving major supernatural and superhuman threats.<|im_end|>"
train,13,allies,Daily Bugle,model_knowledge,added_by_claude,13,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",What is the Daily Bugle?,"The Daily Bugle is the New York newspaper where Peter Parker sells photographs, run by publisher J. Jonah Jameson. It is a central setting for Spider-Man's civilian life.","The Daily Bugle is the New York newspaper where Peter Parker sells photographs, run by publisher J. Jonah Jameson. It is a central setting for Spider-Man's civilian life.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""What is the Daily Bugle?""}, {""role"": ""assistant"", ""content"": ""The Daily Bugle is the New York newspaper where Peter Parker sells photographs, run by publisher J. Jonah Jameson. It is a central setting for Spider-Man's civilian life.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
What is the Daily Bugle?<|im_end|>
<|im_start|>assistant
The Daily Bugle is the New York newspaper where Peter Parker sells photographs, run by publisher J. Jonah Jameson. It is a central setting for Spider-Man's civilian life.<|im_end|>"
train,7,allies,Avengers membership,model_knowledge,added_by_claude,7,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Is Spider-Man an Avenger?,"Spider-Man has been an Avenger in Marvel Comics; he formally joined the team in New Avengers, launched in 2005, after decades as an occasional ally.","Spider-Man has been an Avenger in Marvel Comics; he formally joined the team in New Avengers, launched in 2005, after decades as an occasional ally.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Is Spider-Man an Avenger?""}, {""role"": ""assistant"", ""content"": ""Spider-Man has been an Avenger in Marvel Comics; he formally joined the team in New Avengers, launched in 2005, after decades as an occasional ally.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Is Spider-Man an Avenger?<|im_end|>
<|im_start|>assistant
Spider-Man has been an Avenger in Marvel Comics; he formally joined the team in New Avengers, launched in 2005, after decades as an occasional ally.<|im_end|>"
train,27,allies,Robbie Robertson,model_knowledge,added_by_claude,27,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Robbie Robertson?,Joseph 'Robbie' Robertson is a Daily Bugle editor and one of the more principled figures in Peter Parker's professional life.,Joseph 'Robbie' Robertson is a Daily Bugle editor and one of the more principled figures in Peter Parker's professional life.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Robbie Robertson?""}, {""role"": ""assistant"", ""content"": ""Joseph 'Robbie' Robertson is a Daily Bugle editor and one of the more principled figures in Peter Parker's professional life.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Robbie Robertson?<|im_end|>
<|im_start|>assistant
Joseph 'Robbie' Robertson is a Daily Bugle editor and one of the more principled figures in Peter Parker's professional life.<|im_end|>"
train,9,allies,Black Cat,researched_summary,Spider.csv,9,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Tell me about Black Cat.,"Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.","Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Tell me about Black Cat.""}, {""role"": ""assistant"", ""content"": ""Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Tell me about Black Cat.<|im_end|>
<|im_start|>assistant
Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.<|im_end|>"
train,10,allies,Black Cat,researched_summary,Spider.csv,10,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Black Cat?,"Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.","Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Black Cat?""}, {""role"": ""assistant"", ""content"": ""Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Black Cat?<|im_end|>
<|im_start|>assistant
Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated.<|im_end|>"
train,16,allies,Deadpool,researched_summary,Spider.csv,16,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Does Spider-Man team up with Deadpool Give me the context.,Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.,Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Does Spider-Man team up with Deadpool Give me the context.""}, {""role"": ""assistant"", ""content"": ""Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Does Spider-Man team up with Deadpool Give me the context.<|im_end|>
<|im_start|>assistant
Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.<|im_end|>"
train,17,allies,Deadpool,researched_summary,Spider.csv,17,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Does Spider-Man team up with Deadpool?,Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.,Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Does Spider-Man team up with Deadpool?""}, {""role"": ""assistant"", ""content"": ""Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Does Spider-Man team up with Deadpool?<|im_end|>
<|im_start|>assistant
Spider-Man and Deadpool are frequently paired in Marvel stories and have a relationship built around contrasting personalities and humor.<|im_end|>"
train,20,allies,Human Torch,model_knowledge,added_by_claude,20,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",What is Spider-Man's relationship with the Human Torch?,Johnny Storm and Peter Parker began as rivals in early issues and developed into one of Marvel's closest friendships between heroes.,Johnny Storm and Peter Parker began as rivals in early issues and developed into one of Marvel's closest friendships between heroes.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""What is Spider-Man's relationship with the Human Torch?""}, {""role"": ""assistant"", ""content"": ""Johnny Storm and Peter Parker began as rivals in early issues and developed into one of Marvel's closest friendships between heroes.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
What is Spider-Man's relationship with the Human Torch?<|im_end|>
<|im_start|>assistant
Johnny Storm and Peter Parker began as rivals in early issues and developed into one of Marvel's closest friendships between heroes.<|im_end|>"
train,19,allies,Human Torch,researched_summary,Spider.csv,19,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Tell me about Spider-Man's friendship with Human Torch like.,"Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.","Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Tell me about Spider-Man's friendship with Human Torch like.""}, {""role"": ""assistant"", ""content"": ""Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Tell me about Spider-Man's friendship with Human Torch like.<|im_end|>
<|im_start|>assistant
Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.<|im_end|>"
train,21,allies,Human Torch,researched_summary,Spider.csv,21,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Spider-Man's friendship with Human Torch like?,"Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.","Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Spider-Man's friendship with Human Torch like?""}, {""role"": ""assistant"", ""content"": ""Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Spider-Man's friendship with Human Torch like?<|im_end|>
<|im_start|>assistant
Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals.<|im_end|>"
train,18,allies,Fantastic Four,model_knowledge,added_by_claude,18,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Does Spider-Man work with the Fantastic Four?,"Spider-Man has a long association with the Fantastic Four dating back to his earliest issues, and he has occasionally filled in as a member of the team.","Spider-Man has a long association with the Fantastic Four dating back to his earliest issues, and he has occasionally filled in as a member of the team.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Does Spider-Man work with the Fantastic Four?""}, {""role"": ""assistant"", ""content"": ""Spider-Man has a long association with the Fantastic Four dating back to his earliest issues, and he has occasionally filled in as a member of the team.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Does Spider-Man work with the Fantastic Four?<|im_end|>
<|im_start|>assistant
Spider-Man has a long association with the Fantastic Four dating back to his earliest issues, and he has occasionally filled in as a member of the team.<|im_end|>"
train,8,allies,Betty Brant,model_knowledge,added_by_claude,8,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Betty Brant?,"Betty Brant is a Daily Bugle secretary and later reporter, and one of Peter Parker's earliest romantic interests in the comics.","Betty Brant is a Daily Bugle secretary and later reporter, and one of Peter Parker's earliest romantic interests in the comics.","[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Betty Brant?""}, {""role"": ""assistant"", ""content"": ""Betty Brant is a Daily Bugle secretary and later reporter, and one of Peter Parker's earliest romantic interests in the comics.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Betty Brant?<|im_end|>
<|im_start|>assistant
Betty Brant is a Daily Bugle secretary and later reporter, and one of Peter Parker's earliest romantic interests in the comics.<|im_end|>"
train,14,allies,Daredevil,researched_summary,Spider.csv,14,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Does Spider-Man work with Daredevil Give me the context.,Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.,Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Does Spider-Man work with Daredevil Give me the context.""}, {""role"": ""assistant"", ""content"": ""Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Does Spider-Man work with Daredevil Give me the context.<|im_end|>
<|im_start|>assistant
Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.<|im_end|>"
train,15,allies,Daredevil,researched_summary,Spider.csv,15,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Does Spider-Man work with Daredevil?,Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.,Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Does Spider-Man work with Daredevil?""}, {""role"": ""assistant"", ""content"": ""Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Does Spider-Man work with Daredevil?<|im_end|>
<|im_start|>assistant
Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.<|im_end|>"
train,28,allies,Wolverine,researched_summary,Spider.csv,28,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Has Spider-Man worked with Wolverine?,Spider-Man and Wolverine have worked together as Marvel heroes and have shared team affiliations and adventures.,Spider-Man and Wolverine have worked together as Marvel heroes and have shared team affiliations and adventures.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Has Spider-Man worked with Wolverine?""}, {""role"": ""assistant"", ""content"": ""Spider-Man and Wolverine have worked together as Marvel heroes and have shared team affiliations and adventures.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Has Spider-Man worked with Wolverine?<|im_end|>
<|im_start|>assistant
Spider-Man and Wolverine have worked together as Marvel heroes and have shared team affiliations and adventures.<|im_end|>"
train,44,characters,Ned Leeds,researched_summary,Spider.csv,44,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Tell me about Ned Leeds.,Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.,Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Tell me about Ned Leeds.""}, {""role"": ""assistant"", ""content"": ""Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Tell me about Ned Leeds.<|im_end|>
<|im_start|>assistant
Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.<|im_end|>"
train,45,characters,Ned Leeds,researched_summary,Spider.csv,45,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Ned Leeds?,Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.,Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Ned Leeds?""}, {""role"": ""assistant"", ""content"": ""Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Ned Leeds?<|im_end|>
<|im_start|>assistant
Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.<|im_end|>"
train,42,characters,Miles Morales,researched_summary,Spider.csv,42,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Tell me about Miles Morales.,Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.,Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Tell me about Miles Morales.""}, {""role"": ""assistant"", ""content"": ""Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Tell me about Miles Morales.<|im_end|>
<|im_start|>assistant
Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.<|im_end|>"
train,43,characters,Miles Morales,researched_summary,Spider.csv,43,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Miles Morales?,Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.,Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Miles Morales?""}, {""role"": ""assistant"", ""content"": ""Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Miles Morales?<|im_end|>
<|im_start|>assistant
Miles Morales is another major Spider-Man who originated in an alternate universe and later became part of the main Marvel continuity.<|im_end|>"
train,53,characters,Uncle Ben,researched_summary,Spider.csv,53,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Why is Uncle Ben important to Spider-Man?,Uncle Ben is Peter Parker's uncle and a foundational influence on Peter's moral responsibility as Spider-Man.,Uncle Ben is Peter Parker's uncle and a foundational influence on Peter's moral responsibility as Spider-Man.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Why is Uncle Ben important to Spider-Man?""}, {""role"": ""assistant"", ""content"": ""Uncle Ben is Peter Parker's uncle and a foundational influence on Peter's moral responsibility as Spider-Man.""}]","<|im_start|>system
